,MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,GrossCollection,Certification,votes
135,Ghostbusters, Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis,Action, Comedy, Fantasy,238.63,PG ,"425,423"
136,Apocalypto, Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood,Action, Adventure, Drama,50.87,R ,"319,938"
137,Dunkirk, Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy,Action, Drama, History,188.37,PG-13 ,"681,596"
138,Star Wars: Episode VII - The Force Awakens, Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson,Action, Adventure, Sci-Fi,936.66,PG-13 ,"946,783"
139,Predator, Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo,Action, Adventure, Horror,59.74,R ,"434,101"
140,Taken, Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser,Action, Crime, Thriller,145.00,PG-13 ,"614,343"
141,Captain America: Civil War, Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan,Action, Sci-Fi,Nan,408.08,PG-13 ,"810,775"
142,Skyfall, Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench,Action, Adventure, Thriller,304.36,PG-13 ,"709,358"
143,Hot Fuzz, Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy,Action, Comedy, Mystery,23.64,R ,"516,838"
144,Captain America: The Winter Soldier, Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford,Action, Adventure, Sci-Fi,259.77,PG-13 ,"865,899"
145,Serenity, Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk,Action, Adventure, Sci-Fi,25.51,PG-13 ,"300,206"
146,The Last Samurai, Tom Cruise, Ken Watanabe, Billy Connolly, William Atherton,Action, Drama,Nan,111.11,R ,"451,800"
147,I Saw the Devil, Lee Byung-hun, Choi Min-sik, Jeon Gook-hwan, Ho-jin Chun,Action, Crime, Drama,0.13,Not Rated ,"136,947"
